=== build non-unique ===

      | variants |----  CF0 / M  ------------|----  CF1 / M  ------------|----  CF1 / CF0 ----------|
  algo  bld  prb  p-min  p-max  p-avg  q-avg  p-min  p-max  p-avg  q-avg  p-min  p-max  p-avg  q-avg
ch_upk nopf nopf  -0.85   0.74  -0.01   1.12 -22.15  22.54   3.61   5.63 -18.67  22.54   3.59   5.53 
ch_upk nopf ropf  -1.02   0.79  -0.01   1.11 -19.41  20.21   3.77   5.73 -16.27  20.21   3.74   5.62 
ch_upk nopf amac  -1.11   0.83  -0.01   1.12   -7.8   8.25   1.62      3  -5.96   8.24   1.63   2.98 
ch_upk ropf nopf  -0.88   0.69  -0.03    1.1 -22.27  22.54   3.54   5.52 -18.73  22.54   3.54   5.36 
ch_upk ropf ropf  -1.03   0.74  -0.02    1.1 -19.51  20.21   3.69   5.62 -16.29  20.21   3.69   5.45 
ch_upk ropf amac  -1.21   0.83  -0.02   1.11  -7.86   8.25   1.58   2.88  -5.99   8.24   1.61   2.82 
ch_upk amac nopf  -0.83   0.68  -0.05   1.11 -21.85  22.54    3.5   5.45 -18.54  22.54   3.53    5.3 
ch_upk amac ropf  -0.97   0.72  -0.05   1.11 -19.18  20.21   3.65   5.54 -16.22  20.21   3.68   5.39 
ch_upk amac amac  -1.06   0.68  -0.05   1.11  -7.72   8.25   1.53   2.85  -5.93   8.24    1.6   2.82 
ch_pkd nopf nopf  -1.22      1   0.03   1.18 -11.22  12.53   2.34   4.01  -7.92  12.53   2.29   3.98 
ch_pkd nopf ropf  -0.93      1   0.03   1.18 -10.45  11.59   2.35      4  -7.47   11.4   2.33      4 
ch_pkd nopf amac  -0.93      1   0.03   1.19  -4.32   4.86      1    2.5  -2.97   4.86   0.97   2.51 
ch_pkd ropf nopf  -1.16   0.67  -0.01   1.12 -11.37  12.53   2.28   3.82  -7.99  12.53   2.27   3.74 
ch_pkd ropf ropf  -0.91   0.61  -0.02   1.12 -10.58  11.59    2.3   3.82  -7.57   11.4   2.32   3.77 
ch_pkd ropf amac  -0.91   0.67  -0.02   1.12  -4.37   4.86   0.98   2.33  -3.02   4.86   0.99   2.29 
ch_pkd amac nopf  -1.09   0.67  -0.04   1.11 -11.51  12.53   2.11   3.73  -8.07  12.53   2.15    3.6 
ch_pkd amac ropf   -0.8    0.5  -0.05   1.11  -10.7  11.59   2.13   3.73  -7.67   11.4    2.2   3.63 
ch_pkd amac amac   -0.8   0.55  -0.05   1.11  -4.43   4.86   0.84   2.24  -3.06   4.86    0.9   2.16 
3d_upk nopf nopf  -0.81   0.84  -0.01   1.12  -3.61   8.93   1.92   3.49  -2.64   8.93   1.91   3.45 
3d_upk nopf ropf   -0.8   0.83  -0.02   1.12  -3.51   6.42    1.6   3.17  -2.55   6.42   1.62   3.15 
3d_upk nopf amac  -0.79   0.74   0.01   1.13  -1.98   2.45   0.58   1.97  -2.15   2.44   0.57   1.96 
3d_upk ropf nopf  -0.86   0.68  -0.05    1.1  -3.46   8.93   1.91   3.39  -2.69   8.93   1.96   3.31 
3d_upk ropf ropf  -0.85   0.67  -0.06   1.11  -3.34   6.42    1.6   3.07  -2.49   6.42   1.68   3.02 
3d_upk ropf amac  -0.88    0.6  -0.04    1.1  -1.55   2.45   0.59   1.86  -0.81   2.44   0.64   1.81 
3d_upk amac nopf  -0.73   0.89  -0.02   1.11  -3.12   8.93   1.71    3.2  -2.56   8.93   1.72   3.17 
3d_upk amac ropf  -0.72   0.89  -0.02   1.11  -3.02   6.42    1.4   2.89  -2.38   6.42   1.44   2.88 
3d_upk amac amac  -0.68   0.89  -0.01    1.1   -1.5   2.45   0.42   1.71  -0.83   2.44   0.42   1.71 
3d_pkd nopf nopf  -1.05   0.99   0.04    1.2  -3.29   4.55   1.07   2.58  -2.01   4.55   1.03   2.62 
3d_pkd nopf ropf   -1.1   0.99   0.03    1.2  -3.21   3.12   0.35   1.88  -2.03   2.78   0.32   1.93 
3d_pkd nopf amac  -1.05      1   0.05   1.21  -3.19   3.11   0.27   1.75  -2.01   2.64   0.23   1.79 
3d_pkd ropf nopf  -1.08   0.63   0.02   1.14  -2.41   4.55   1.09   2.43  -1.45   4.55   1.05   2.46 
3d_pkd ropf ropf  -1.08   0.64   0.02   1.14  -2.33    2.1   0.37   1.72  -1.48    2.1   0.35   1.76 
3d_pkd ropf amac  -1.08   0.66   0.04   1.15  -2.24   1.98   0.31   1.58  -1.22   1.97   0.26   1.62 
3d_pkd amac nopf   -0.9   0.71  -0.01   1.09  -1.97   4.55   0.77   2.19  -1.14   4.55   0.78   2.17 
3d_pkd amac ropf  -0.95   0.71  -0.02   1.09  -2.01   1.33   0.07    1.5  -1.16   1.33   0.09   1.49 
3d_pkd amac amac   -0.9   0.71  -0.01   1.08  -1.97   0.99   0.02   1.38  -0.61   0.98   0.03   1.37 
